"Title","Genre","Company","AgeRating","Year","Rating","RatingCount","Director","Writer","Star","Budget","Revenue","RunTime","Country","Profit"
"Ponyo","Animation","Studio Ghibli","G",2008,7.7,131000,"Hayao Miyazaki","Hayao Miyazaki","Cate Blanchett",41677699,187479518,100,"Japan",145801819
"The Longest Ride","Drama","Fox 2000 Pictures","PG-13",2015,7.1,79000,"George Tillman Jr.","Nicholas Sparks","Scott Eastwood",34000000,63013281,128,"United States",29013281
"The Astronaut's Wife","Drama","New Line Cinema","R",1999,5.4,54000,"Rand Ravich","Rand Ravich","Charlize Theron",75000000,19598588,109,"United States",-55401412
"Reds","Drama","Barclays Mercantile Industrial Finance","PG",1981,7.3,21000,"Warren Beatty","Warren Beatty","Warren Beatty",32000000,40382659,195,"United States",8382659
"The Darkest Hour","Horror","Summit Entertainment","PG-13",2011,4.9,59000,"Chris Gorak","Jon Spaihts","Emile Hirsch",30000000,64626786,89,"United States",34626786
"Step Up Revolution","Music","Summit Entertainment","PG-13",2012,6.4,55000,"Scott Speer","Amanda Brody","Kathryn McCormick",33000000,140470746,99,"United States",107470746
"Snakes on a Plane","Action","New Line Cinema","R",2006,5.4,134000,"David R. Ellis","John Heffernan","Samuel L. Jackson",33000000,62022014,105,"United States",29022014
"The Punisher","Action","Lions Gate Films","R",2004,6.4,152000,"Jonathan Hensleigh","Jonathan Hensleigh","Thomas Jane",33000000,54700105,124,"United States",21700105
"Doomsday","Action","Rogue Pictures","R",2008,5.9,75000,"Neil Marshall","Neil Marshall","Rhona Mitra",30000000,22211426,108,"United Kingdom",-7788574
"Elf","Comedy","New Line Cinema","PG",2003,7,235000,"Jon Favreau","David Berenbaum","Will Ferrell",32000000,173398518,97,"United States",141398518
"Phenomenon","Drama","Touchstone Pictures","PG",1996,6.4,76000,"Jon Turteltaub","Gerald Di Pego","John Travolta",32000000,152036382,123,"United States",120036382
"Nacho Libre","Comedy","Paramount Pictures","PG",2006,5.8,83000,"Jared Hess","Jared Hess","Jack Black",32000000,80197993,92,"United States",48197993
"Bridesmaids","Comedy","Universal Pictures","R",2011,6.8,276000,"Paul Feig","Kristen Wiig","Kristen Wiig",32500000,288383523,125,"United States",255883523
"This Is the End","Action","Columbia Pictures","R",2013,6.6,391000,"Evan Goldberg","Seth Rogen","James Franco",32000000,126041322,107,"United States",94041322
"Men of Honor","Drama","Fox 2000 Pictures","R",2000,7.2,110000,"George Tillman Jr.","Scott Marshall Smith","Cuba Gooding Jr.",32000000,48814909,129,"United States",16814909
"The Number 23","Thriller","New Line Cinema","R",2007,6.4,196000,"Joel Schumacher","Fernley Phillips","Jim Carrey",30000000,77566815,101,"United States",47566815
"A History of Violence","Drama","New Line Cinema","R",2005,7.4,228000,"David Cronenberg","John Wagner","Viggo Mortensen",32000000,60740827,96,"Canada",28740827
"The Quick and the Dead","Action","TriStar Pictures","R",1995,6.4,88000,"Sam Raimi","Simon Moore","Sharon Stone",32000000,18552460,107,"United States",-13447540
"Repo Men","Action","Universal Pictures","R",2010,6.3,103000,"Miguel Sapochnik","Eric Garcia","Jude Law",32000000,18409891,111,"United States",-13590109
"The Incredible Burt Wonderstone","Comedy","New Line Cinema","PG-13",2013,5.9,71000,"Don Scardino","Jonathan Goldstein","Steve Carell",30000000,27437881,100,"United States",-2562119
"Going the Distance","Comedy","New Line Cinema","R",2010,6.3,57000,"Nanette Burstein","Geoff LaTulippe","Drew Barrymore",32000000,42045846,102,"United States",10045846
"Flight","Drama","Paramount Pictures","R",2012,7.3,334000,"Robert Zemeckis","John Gatins","Denzel Washington",31000000,161772375,138,"United States",130772375
"The Grand Budapest Hotel","Comedy","Fox Searchlight Pictures","R",2014,8.1,734000,"Wes Anderson","Stefan Zweig","Ralph Fiennes",30000000,174600318,99,"United States",144600318
"Hearts in Atlantis","Drama","Castle Rock Entertainment","PG-13",2001,6.9,37000,"Scott Hicks","Stephen King","Anthony Hopkins",31000000,24185781,101,"United States",-6814219
"Frequency","Crime","New Line Cinema","PG-13",2000,7.3,103000,"Gregory Hoblit","Toby Emmerich","Dennis Quaid",31000000,68106245,118,"United States",37106245
"The Hunt for Red October","Action","Paramount Pictures","PG",1990,7.6,186000,"John McTiernan","Tom Clancy","Sean Connery",30000000,199200000,134,"United States",169200000
"The Princess Diaries","Comedy","Walt Disney Pictures","G",2001,6.4,133000,"Garry Marshall","Meg Cabot","Julie Andrews",37000000,165335153,115,"United States",128335153
"The SpongeBob SquarePants Movie","Animation","Paramount Pictures","PG",2004,7.1,82000,"Stephen Hillenburg","Derek Drymon","Tom Kenny",30000000,140161792,87,"United States",110161792
"The Notebook","Romance","New Line Cinema","PG-13",2004,7.8,534000,"Nick Cassavetes","Jeremy Leven","Gena Rowlands",29000000,115603229,123,"United States",86603229
"The Prince of Tides","Drama","Columbia Pictures","R",1991,6.7,17000,"Barbra Streisand","Pat Conroy","Barbra Streisand",30000000,74787599,132,"United States",44787599
"Up in the Air","Drama","Paramount Pictures","R",2009,7.4,324000,"Jason Reitman","Walter Kirn","George Clooney",25000000,163670000,109,"United States",138670000
"About Schmidt","Drama","New Line Cinema","R",2002,7.1,124000,"Alexander Payne","Louis Begley","Jack Nicholson",30000000,105834556,125,"United States",75834556
"Warm Bodies","Horror","Summit Entertainment","PG-13",2013,6.8,223000,"Jonathan Levine","Isaac Marion","Nicholas Hoult",35000000,116980662,97,"United States",81980662
"Babe","Fantasy","Universal Pictures","G",1995,6.8,119000,"Chris Noonan","Dick King-Smith","James Cromwell",30000000,254134910,89,"Australia",224134910
"Hope Springs","Drama","Columbia Pictures","PG-13",2012,6.3,42000,"David Frankel","Vanessa Taylor","Meryl Streep",30000000,114281051,100,"United States",84281051
"Forgetting Sarah Marshall","Comedy","Universal Pictures","R",2008,7.1,271000,"Nicholas Stoller","Jason Segel","Kristen Bell",30000000,105173115,111,"United States",75173115
"Four Brothers","Action","Paramount Pictures","R",2005,6.8,138000,"John Singleton","David Elliot","Mark Wahlberg",45000000,92374674,109,"United States",47374674
"Without a Paddle","Action","Paramount Pictures","PG-13",2004,5.9,45000,"Steven Brill","Fred Wolf","Matthew Lillard",19000000,69631118,95,"United States",50631118
"Star Trek V: The Final Frontier","Science Fiction","Paramount Pictures","PG",1989,5.5,57000,"William Shatner","Gene Roddenberry","William Shatner",30000000,70200000,107,"United States",40200000
"A View to a Kill","Adventure","Eon Productions","PG",1985,6.3,91000,"John Glen","Richard Maibaum","Roger Moore",30000000,152427960,131,"United Kingdom",122427960
"Racing Stripes","Comedy","Alcon Entertainment","PG",2005,5.2,16000,"Frederik Du Chau","David Schmidt","Frankie Muniz",30000000,93772522,102,"United States",63772522
"Atonement","Drama","Universal Pictures","R",2007,7.8,259000,"Joe Wright","Ian McEwan","Keira Knightley",30000000,129266061,123,"United Kingdom",99266061
"Black Rain","Action","Paramount Pictures","R",1989,6.6,51000,"Ridley Scott","Craig Bolotin","Michael Douglas",30000000,45892212,125,"United States",15892212
"Sicario","Action","Lionsgate","R",2015,7.6,386000,"Denis Villeneuve","Taylor Sheridan","Emily Blunt",30000000,84025816,121,"United States",54025816
"Southpaw","Action","Escape Artists","R",2015,7.4,223000,"Antoine Fuqua","Kurt Sutter","Jake Gyllenhaal",30000000,91709827,123,"Hong Kong",61709827
"Drag Me to Hell","Horror","Universal Pictures","PG-13",2009,6.5,192000,"Sam Raimi","Sam Raimi","Alison Lohman",30000000,90810892,99,"United States",60810892
"The Age of Adaline","Fantasy","Lakeshore Entertainment","PG-13",2015,7.2,160000,"Lee Toland Krieger","J. Mills Goodloe","Blake Lively",25000000,65663276,112,"United States",40663276
"30 Days of Night","Horror","Columbia Pictures","R",2007,6.6,168000,"David Slade","Steve Niles","Josh Hartnett",30000000,75505973,113,"United States",45505973
"The Cabin in the Woods","Horror","Lionsgate","R",2011,7,387000,"Drew Goddard","Joss Whedon","Kristen Connolly",30000000,66486080,95,"United States",36486080
"Midnight Run","Adventure","Universal Pictures","R",1988,7.5,79000,"Martin Brest","George Gallo","Robert De Niro",30000000,38413606,126,"United States",8413606
"Little Shop of Horrors","Horror","The Geffen Company","PG-13",1986,7,68000,"Frank Oz","Howard Ashman","Rick Moranis",25000000,38748395,94,"United States",13748395
"Hanna","Action","Focus Features","PG-13",2011,6.8,193000,"Joe Wright","Seth Lochhead","Saoirse Ronan",30000000,63782078,111,"United States",33782078
"Mortal Kombat: Annihilation","Action","New Line Cinema","PG-13",1997,3.7,51000,"John R. Leonetti","Ed Boon","Robin Shou",30000000,51376861,95,"United States",21376861
"Larry Crowne","Comedy","Universal Pictures","PG-13",2011,6.1,65000,"Tom Hanks","Tom Hanks","Tom Hanks",30000000,36160375,98,"United States",6160375
"Take the Lead","Music","New Line Cinema","PG-13",2006,6.6,25000,"Liz Friedlander","Dianne Houston","Antonio Banderas",30000000,34742066,108,"United States",4742066
"Winnie the Pooh","Animation","Walt Disney Pictures","G",2011,7.2,23000,"Stephen J. Anderson","Stephen J. Anderson","Jim Cummings",30000000,14460000,63,"United States",-15540000
"Dumb and Dumberer: When Harry Met Lloyd","Comedy","New Line Cinema","PG-13",2003,3.4,38000,"Troy Miller","Peter Farrelly","Derek Richardson",19000000,39267515,85,"United States",20267515
"Virtuosity","Action","Paramount Pictures","R",1995,5.6,29000,"Brett Leonard","Eric Bernt","Denzel Washington",30000000,24048000,106,"United States",-5952000
"Sanctum","Action","Universal Pictures","R",2011,5.9,54000,"Alister Grierson","John Garvin","Rhys Wakefield",30000000,108609310,108,"United States",78609310
"Little Black Book","Comedy","Revolution Studios","PG-13",2004,5.3,18000,"Nick Hurran","Melissa Carter","Brittany Murphy",35000000,22034832,111,"United States",-12965168
"The Five-Year Engagement","Comedy","Universal Pictures","R",2012,6.2,96000,"Nicholas Stoller","Jason Segel","Jason Segel",30000000,53909751,124,"United States",23909751
"The Next Three Days","Romance","Lionsgate","PG-13",2010,7.3,189000,"Paul Haggis","Paul Haggis","Russell Crowe",30000000,51148651,133,"United States",21148651
"Ultraviolet","Science Fiction","Screen Gems","PG-13",2006,4.4,80000,"Kurt Wimmer","Kurt Wimmer","Milla Jovovich",30000000,31070211,87,"United States",1070211
"Assault on Precinct 13","Thriller","Rogue Pictures","R",2005,6.3,75000,"Jean-François Richet","John Carpenter","Ethan Hawke",30000000,35294470,109,"France",5294470
"Fled","Action","Metro-Goldwyn-Mayer (MGM)","R",1996,5.4,8700,"Kevin Hooks","Preston A. Whitmore II","Laurence Fishburne",25000000,17193231,98,"United States",-7806769
"North Country","Drama","Warner Bros.","R",2005,7.3,41000,"Niki Caro","Michael Seitzman","Charlize Theron",35000000,25224242,126,"United States",-9775758
"Pride and Glory","Thriller","New Line Cinema","R",2008,6.6,60000,"Gavin O'Connor","Joe Carnahan","Edward Norton",30000000,31148328,130,"United States",1148328
"The New World","Drama","New Line Cinema","PG-13",2005,6.7,84000,"Terrence Malick","Terrence Malick","Colin Farrell",30000000,30536013,135,"United States",536013
"Chasing Liberty","Comedy","Alcon Entertainment","PG-13",2004,6.1,37000,"Andy Cadiff","Derek Guiley","Mandy Moore",23000000,1.2e+07,111,"United States",-1.1e+07
"The Imaginarium of Doctor Parnassus","Adventure","Infinity Features Entertainment","PG-13",2009,6.8,146000,"Terry Gilliam","Terry Gilliam","Christopher Plummer",30000000,64352607,123,"United Kingdom",34352607
"Barney's Version","Comedy","Serendipity Point Films","R",2010,7.3,24000,"Richard J. Lewis","Mordecai Richler","Paul Giamatti",30000000,8454301,134,"Italy",-21545699
"Glory","War","TriStar Pictures","R",1989,7.8,126000,"Edward Zwick","Kevin Jarre","Matthew Broderick",18000000,26828365,122,"United States",8828365
"Keeping the Faith","Comedy","Spyglass Entertainment","PG-13",2000,6.4,50000,"Edward Norton","Stuart Blumberg","Ben Stiller",30000000,37036004,127,"United States",7036004
"Seed of Chucky","Drama","Rogue Pictures","R",2004,4.8,40000,"Don Mancini","Don Mancini","Jennifer Tilly",12000000,24829644,87,"United States",12829644
"Aladdin","Animation","Walt Disney Pictures","G",1992,8,382000,"Ron Clements","Ron Clements","Scott Weinger",28000000,504050219,90,"United States",476050219
"Aladdin","Animation","Walt Disney Pictures","PG",2019,6.9,239000,"Guy Ritchie","John August","Will Smith",28000000,504050219,90,"United Kingdom",476050219
"Along Came a Spider","Crime","Paramount Pictures","R",2001,6.4,79000,"Lee Tamahori","James Patterson","Morgan Freeman",60000000,105178561,104,"United States",45178561
"Role Models","Comedy","Universal Pictures","R",2008,6.8,223000,"David Wain","Timothy Dowling","Paul Rudd",28000000,92380927,99,"Germany",64380927
"The Big Short","Comedy","Paramount Pictures","R",2015,7.8,381000,"Adam McKay","Charles Randolph","Christian Bale",28000000,133346506,130,"United States",105346506
"The Royal Tenenbaums","Comedy","Touchstone Pictures","R",2001,7.6,273000,"Wes Anderson","Wes Anderson","Gene Hackman",21000000,71441250,110,"United States",50441250
"Zoolander","Comedy","Paramount Pictures","PG-13",2001,6.5,251000,"Ben Stiller","Drake Sather","Ben Stiller",28000000,60780981,89,"Germany",32780981
"Hocus Pocus","Comedy","Walt Disney Pictures","PG",1993,6.9,106000,"Kenny Ortega","David Kirschner","Bette Midler",28000000,39514713,96,"United States",11514713
"30 Minutes or Less","Action","Columbia Pictures","R",2011,6.1,96000,"Ruben Fleischer","Michael Diliberti","Jesse Eisenberg",28000000,40547440,83,"United States",12547440
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Family","Walt Disney Pictures","PG",2014,6.2,42000,"Miguel Arteta","Rob Lieber","Steve Carell",28000000,100654149,81,"United States",72654149
"Rob Roy","Adventure","United Artists","R",1995,6.9,41000,"Michael Caton-Jones","Alan Sharp","Liam Neeson",28000000,31596911,139,"United Kingdom",3596911
"We Own the Night","Drama","Columbia Pictures","R",2007,6.8,86000,"James Gray","James Gray","Joaquin Phoenix",21000000,54926886,117,"United States",33926886
"A Simple Wish","Adventure","Universal Pictures","PG",1997,5.4,5200,"Michael Ritchie","Jeff Rothberg","Martin Short",28000000,8345056,86,"United States",-19654944
"Ghosts of Mars","Action","Screen Gems","R",2001,4.9,52000,"John Carpenter","Larry Sulkis","Natasha Henstridge",28000000,14010832,98,"United States",-13989168
"Kick-Ass 2","Action","Universal Pictures","R",2013,6.5,259000,"Jeff Wadlow","Jeff Wadlow","Aaron Taylor-Johnson",28000000,60700000,103,"United Kingdom",32700000
"Knocked Up","Comedy","Universal Pictures","R",2007,6.9,356000,"Judd Apatow","Judd Apatow","Seth Rogen",30000000,219076518,129,"United States",189076518
"Notes on a Scandal","Drama","Fox Searchlight Pictures","R",2006,7.4,76000,"Richard Eyre","Patrick Marber","Cate Blanchett",15000000,49469904,92,"United Kingdom",34469904
"Rendition","Drama","Anonymous Content","R",2007,6.8,55000,"Gavin Hood","Kelley Sane","Reese Witherspoon",27500000,24748670,120,"United States",-2751330
"Star Trek VI: The Undiscovered Country","Science Fiction","Paramount Pictures","PG",1991,7.2,72000,"Nicholas Meyer","Gene Roddenberry","William Shatner",27000000,96900000,113,"United States",69900000
"Kiss the Girls","Drama","Paramount Pictures","R",1997,6.6,68000,"Gary Fleder","James Patterson","Morgan Freeman",27000000,60527873,115,"United States",33527873
"The Blues Brothers","Music","Universal Pictures","R",1980,7.9,188000,"John Landis","Dan Aykroyd","John Belushi",27000000,115229890,133,"United States",88229890
"About a Boy","Drama","Universal Pictures","PG-13",2002,7.1,176000,"Chris Weitz","Nick Hornby","Hugh Grant",27000000,1.29e+08,101,"United Kingdom",1.02e+08
"Lake Placid","Horror","Fox 2000 Pictures","R",1999,5.7,56000,"Steve Miner","David E. Kelley","Bridget Fonda",27000000,56870414,82,"United States",29870414
"Lucky Number Slevin","Drama","The Weinstein Company","R",2006,7.7,303000,"Paul McGuigan","Jason Smilovic","Josh Hartnett",27000000,56308881,110,"United States",29308881
"Anonymous","Drama","Columbia Pictures","PG-13",2011,6.9,40000,"Roland Emmerich","John Orloff","Rhys Ifans",30000000,15395087,130,"United Kingdom",-14604913
"Case 39","Horror","Paramount Vantage","R",2009,6.2,81000,"Christian Alvart","Ray Wright","Renée Zellweger",27000000,2.9e+07,109,"United States",2e+06
"Money Monster","Thriller","TriStar Pictures","R",2016,6.5,96000,"Jodie Foster","Jamie Linden","George Clooney",27000000,93282604,98,"United States",66282604
"What Just Happened","Comedy","2929 Productions","R",2008,5.6,27000,"Barry Levinson","Art Linson","Robert De Niro",25000000,6673422,104,"United States",-18326578
"Paul Blart: Mall Cop","Action","Columbia Pictures","PG",2009,5.2,105000,"Steve Carr","Kevin James","Kevin James",26000000,183293131,91,"United States",157293131
"Pineapple Express","Action","Columbia Pictures","R",2008,6.9,322000,"David Gordon Green","Seth Rogen","Seth Rogen",27000000,101624843,111,"United States",74624843
"Final Destination 2","Horror","New Line Cinema","R",2003,6.2,156000,"David R. Ellis","J. Mackye Gruber","A.J. Cook",26000000,90426405,90,"United States",64426405
"Pain & Gain","Thriller","Paramount Pictures","R",2013,6.4,205000,"Michael Bay","Christopher Markus","Mark Wahlberg",25000000,86175291,130,"United States",61175291
"Clockstoppers","Adventure","Paramount Pictures","PG",2002,5.2,14000,"Jonathan Frakes","Rob Hedden","Jesse Bradford",26000000,38793283,94,"United States",12793283
"Brothers","Drama","Lionsgate","R",2009,7.1,115000,"Jim Sheridan","David Benioff","Jake Gyllenhaal",26000000,43318349,104,"United States",17318349
"New Year's Eve","Comedy","New Line Cinema","PG-13",2011,5.7,83000,"Garry Marshall","Katherine Fugate","Sarah Jessica Parker",56000000,142044638,118,"United States",86044638
"Original Sin","Drama","Metro-Goldwyn-Mayer (MGM)","R",2001,6.1,55000,"Michael Cristofer","Cornell Woolrich","Antonio Banderas",42000000,35402320,118,"France",-6597680
"Flipper","Adventure","Universal Pictures","PG",1996,5.3,10000,"Alan Shapiro","Ricou Browning","Paul Hogan",25530000,20080020,95,"United States",-5449980
"The Passion of the Christ","Drama","Icon Productions","R",2004,7.2,221000,"Mel Gibson","Benedict Fitzgerald","Jim Caviezel",30000000,611899420,127,"United States",581899420
"Rain Man","Drama","United Artists","R",1988,8,483000,"Barry Levinson","Barry Morrow","Dustin Hoffman",25000000,412800000,133,"United States",387800000
"Schindler's List","Drama","Universal Pictures","R",1993,8.9,1200000,"Steven Spielberg","Thomas Keneally","Liam Neeson",22000000,321365567,195,"United States",299365567
"Freddy vs. Jason","Horror","New Line Cinema","R",2003,5.7,113000,"Ronny Yu","Wes Craven","Robert Englund",30000000,114908830,97,"Canada",84908830
"Cloverfield","Action","Paramount Pictures","PG-13",2008,7,379000,"Matt Reeves","Drew Goddard","Mike Vogel",25000000,170764026,85,"United States",145764026
"The Untouchables","Crime","Paramount Pictures","R",1987,7.9,289000,"Brian De Palma","David Mamet","Kevin Costner",25000000,76270454,119,"United States",51270454
"Ride Along","Action","Universal Pictures","PG-13",2014,6.2,106000,"Tim Story","Greg Coolidge","Ice Cube",25000000,153997819,99,"United States",128997819
"Tombstone","Action","Hollywood Pictures","R",1993,7.8,132000,"George P. Cosmatos","Kevin Jarre","Kurt Russell",25000000,56505065,130,"United States",31505065
"Final Destination 3","Horror","New Line Cinema","R",2006,5.8,133000,"James Wong","Glen Morgan","Mary Elizabeth Winstead",25000000,117719158,93,"United States",92719158
"Bridge to Terabithia","Adventure","Walden Media","PG",2007,7.1,147000,"Gabor Csupo","Jeff Stockwell","Josh Hutcherson",60000000,137587063,96,"United States",77587063
"Nanny McPhee","Fantasy","Universal Pictures","PG",2005,6.6,70000,"Kirk Jones","Emma Thompson","Emma Thompson",25000000,122489822,97,"United States",97489822
"Scarface","Action","Universal Pictures","R",1983,8.3,766000,"Brian De Palma","Oliver Stone","Al Pacino",25000000,65884703,170,"United States",40884703
"Contraband","Thriller","Universal Pictures","R",2012,6.4,119000,"Baltasar Kormákur","Aaron Guzikowski","Mark Wahlberg",25000000,63100000,109,"United States",38100000
"Undercover Brother","Action","Universal Pictures","PG-13",2002,5.9,34000,"Malcolm D. Lee","John Ridley","Eddie Griffin",25000000,41604473,86,"United States",16604473
"The House Bunny","Romance","Columbia Pictures","PG-13",2008,5.5,81000,"Fred Wolf","Karen McCullah","Anna Faris",25000000,70442940,97,"United States",45442940
"Beauty Shop","Comedy","Metro-Goldwyn-Mayer (MGM)","PG-13",2005,5.6,17000,"Bille Woodruff","Elizabeth Hunter","Queen Latifah",25000000,36351350,105,"United States",11351350
"Million Dollar Arm","Drama","Walt Disney Pictures","PG",2014,7,44000,"Craig Gillespie","Tom McCarthy","Jon Hamm",25000000,38307627,124,"United States",13307627
"Jeepers Creepers 2","Horror","United Artists","R",2003,5.6,60000,"Victor Salva","Victor Salva","Jonathan Breck",17000000,63102666,104,"United States",46102666
"Good Luck Chuck","Comedy","Lionsgate","R",2007,5.6,87000,"Mark Helfrich","Josh Stolberg","Dane Cook",25000000,59192128,101,"United States",34192128
"The Hours","Drama","Paramount Pictures","PG-13",2002,7.5,127000,"Stephen Daldry","Michael Cunningham","Meryl Streep",25000000,41597830,114,"United States",16597830
"Anacondas: The Hunt for the Blood Orchid","Adventure","Screen Gems","PG-13",2004,4.7,30000,"Dwight H. Little","Hans Bauer","Morris Chestnut",20000000,70992898,97,"United States",50992898
"August Rush","Drama","Warner Bros.","PG",2007,7.5,105000,"Kirsten Sheridan","Nick Castle","Freddie Highmore",25000000,66122026,114,"United States",41122026
"The Shawshank Redemption","Drama","Castle Rock Entertainment","R",1994,9.3,2400000,"Frank Darabont","Stephen King","Tim Robbins",25000000,28341469,142,"United States",3341469
"Crocodile Dundee in Los Angeles","Adventure","Bungalow Productions","PG",2001,4.8,24000,"Simon Wincer","Paul Hogan","Paul Hogan",21150000,39438674,92,"Australia",18288674
"The Gambler","Thriller","Paramount Pictures","R",2014,6.1,68000,"Rupert Wyatt","William Monahan","Mark Wahlberg",25000000,39171130,111,"United States",14171130
"Ice Princess","Drama","Walt Disney Pictures","G",2005,6,26000,"Tim Fywell","Meg Cabot","Michelle Trachtenberg",25000000,27645491,98,"United States",2645491
"Don Juan DeMarco","Romance","New Line Cinema","PG-13",1994,6.7,49000,"Jeremy Leven","Lord Byron","Johnny Depp",25000000,22200000,97,"United States",-2800000
"Dear John","Drama","Screen Gems","PG-13",2010,6.3,142000,"Lasse Hallström","Jamie Linden","Channing Tatum",25000000,114977104,115,"United States",89977104
"Maximum Risk","Action","Columbia Pictures","R",1996,5.5,21000,"Ringo Lam","Larry Ferguson","Jean-Claude Van Damme",25000000,51702483,100,"United States",26702483
"Shark Night","Horror","Incentive Filmed Entertainment","PG-13",2011,4,25000,"David R. Ellis","Will Hayes","Sara Paxton",28000000,10126458,91,"United States",-17873542
"Draft Day","Drama","Summit Entertainment","PG-13",2014,6.8,56000,"Ivan Reitman","Scott Rothman","Kevin Costner",25000000,28831145,109,"United States",3831145
"Lords of Dogtown","Drama","Columbia Pictures","PG-13",2005,7.1,53000,"Catherine Hardwicke","Stacy Peralta","Heath Ledger",25000000,13411957,107,"United States",-11588043
"The 33","Drama","Alcon Entertainment","PG-13",2015,6.9,37000,"Patricia Riggen","Mikko Alanne","Antonio Banderas",25000000,24902723,120,"Chile",-97277
"Stop-Loss","Drama","Paramount Pictures","R",2008,6.4,20000,"Kimberly Peirce","Mark Richard","Ryan Phillippe",25000000,11207130,113,"United States",-13792870
"Abandon","Drama","Paramount Pictures","PG-13",2002,4.9,9400,"Stephen Gaghan","Stephen Gaghan","Katie Holmes",25000000,10719357,99,"United States",-14280643
"The Possession","Horror","Ghost House Pictures","PG-13",2012,5.9,58000,"Ole Bornedal","Juliet Snowden","Natasha Calis",14000000,85446075,92,"United States",71446075
"Mrs. Winterbourne","Comedy","TriStar Pictures","PG-13",1996,6.2,7100,"Richard Benjamin","Cornell Woolrich","Shirley MacLaine",25000000,10070000,105,"United States",-14930000
"Blindness","Drama","Rhombus Media","R",2008,6.6,71000,"Fernando Meirelles","José Saramago","Julianne Moore",25000000,19844979,121,"Brazil",-5155021
"Without Limits","Drama","Cruise/Wagner Productions","PG-13",1998,7.2,6700,"Robert Towne","Robert Towne","Billy Crudup",25000000,777423,117,"United States",-24222577
"The Best Offer","Drama","Paco Cinematografica","R",2013,7.8,112000,"Giuseppe Tornatore","Giuseppe Tornatore","Geoffrey Rush",13500000,19255873,124,"Italy",5755873
"Dangerous Liaisons","Drama","Lorimar Film Entertainment","R",1988,7.6,66000,"Stephen Frears","Christopher Hampton","Glenn Close",14000000,34670720,119,"United States",20670720
"Star Trek IV: The Voyage Home","Science Fiction","Paramount Pictures","PG",1986,7.3,81000,"Leonard Nimoy","Gene Roddenberry","William Shatner",24000000,1.33e+08,119,"United States",1.09e+08
"The Whole Nine Yards","Comedy","Franchise Pictures","R",2000,6.7,114000,"Jonathan Lynn","Mitchell Kapner","Bruce Willis",41300000,106371651,98,"United States",65071651
"Footloose","Drama","Paramount Pictures","PG",1984,6.6,73000,"Herbert Ross","Dean Pitchford","Kevin Bacon",8200000,80035402,107,"United States",71835402
"Footloose","Drama","Paramount Pictures","PG-13",2011,5.9,47000,"Craig Brewer","Dean Pitchford","Kenny Wormald",8200000,80035402,107,"United States",71835402
"The Fisher King","Comedy","TriStar Pictures","R",1991,7.5,81000,"Terry Gilliam","Richard LaGravenese","Jeff Bridges",24000000,41895491,137,"United States",17895491
"I Still Know What You Did Last Summer","Horror","Columbia Pictures","R",1998,4.7,70000,"Danny Cannon","Lois Duncan","Jennifer Love Hewitt",65000000,40002112,100,"United States",-24997888
"Return to Me","Romance","Metro-Goldwyn-Mayer (MGM)","PG",2000,6.9,20000,"Bonnie Hunt","Bonnie Hunt","David Duchovny",24000000,36609995,115,"United States",12609995
"Zack and Miri Make a Porno","Comedy","Blue Askew","R",2008,6.5,174000,"Kevin Smith","Kevin Smith","Seth Rogen",24000000,42105111,102,"United States",18105111
"The Men Who Stare at Goats","Comedy","BBC Films","R",2009,6.2,129000,"Grant Heslov","Jon Ronson","Ewan McGregor",24000000,68729358,93,"United States",44729358
"Ready to Rumble","Action","Bel Air Entertainment","PG-13",2000,5.4,14000,"Brian Robbins","Steven Brill","David Arquette",24000000,12372410,107,"United States",-11627590
"Zombieland","Comedy","Columbia Pictures","R",2009,7.6,534000,"Ruben Fleischer","Rhett Reese","Jesse Eisenberg",23600000,102391382,88,"United States",78791382
"The Naked Gun 2½: The Smell of Fear","Comedy","Paramount Pictures","PG-13",1991,6.9,108000,"David Zucker","Jim Abrahams","Leslie Nielsen",23000000,86930411,85,"United States",63930411
"Final Destination","Horror","New Line Cinema","R",2000,6.7,236000,"James Wong","Glen Morgan","Devon Sawa",23000000,53302314,98,"United States",30302314
"Ghost","Fantasy","Paramount Pictures","PG-13",1990,7.1,203000,"Jerry Zucker","Bruce Joel Rubin","Patrick Swayze",22000000,5.05e+08,127,"United States",4.83e+08
"The Santa Clause","Fantasy","Walt Disney Pictures","PG",1994,6.5,102000,"John Pasquin","Leo Benvenuti","Tim Allen",22000000,189833357,97,"United States",167833357
"The Game Plan","Comedy","Walt Disney Pictures","PG",2007,6.1,61000,"Andy Fickman","Nichole Millard","Dwayne Johnson",22000000,147880543,110,"United States",125880543
"The Animal","Action","Revolution Studios","PG-13",2001,4.8,58000,"Luke Greenfield","Tom Brady","Rob Schneider",22000000,84772742,84,"United States",62772742
"The Hundred-Foot Journey","Drama","Amblin Entertainment","PG",2014,7.3,79000,"Lasse Hallström","Steven Knight","Helen Mirren",22000000,88880821,122,"United States",66880821
"The Net","Crime","Columbia Pictures","PG-13",1995,5.9,62000,"Irwin Winkler","John Brancato","Sandra Bullock",22000000,110627965,114,"United States",88627965
"I Am Sam","Drama","New Line Cinema","PG-13",2001,7.6,145000,"Jessie Nelson","Kristine Johnson","Sean Penn",22000000,92542418,132,"United States",70542418
